,agent0,agent1,agent0_win,agent1_win,draw,agent0_reward,agent1_reward,num_matches
0,MY_AGENT,RANDOM,100,0,0,1840.0,-1840.0,100
1,MY_AGENT,WEAK,100,0,0,966.0,-966.0,100
2,MY_AGENT,MEDIUM,100,0,0,998.0,-998.0,100
3,MY_AGENT,STRONG,100,0,0,1014.0,-1014.0,100
4,MY_AGENT,RULE_BASED,96,4,0,866.0,-866.0,100
5,MY_AGENT,ALPHA_PONG,98,2,0,936.0,-936.0,100
6,MY_AGENT,MY_AGENT,49,51,0,-26.0,26.0,100
